codigo_ies,anio,nombre_ies,n_evaluados,n_ceros_escrita,global_a,global_c,global_b,pct_ceros_escrita
1101,2023,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,3294,49,181.87,182.4,182.46,1.49
1102,2023,UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN,1151,25,174.91,175.66,175.74,2.17
1103,2023,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,583,14,164.43,165.16,165.46,2.4
1104,2023,UNIVERSIDAD NACIONAL DE COLOMBIA-PALMIRA,245,7,153.74,154.51,155.08,2.86
1105,2023,UNIVERSIDAD PEDAGOGICA NACIONAL-BOGOTÁ D.C.,919,15,153.83,154.31,154.41,1.63
1106,2023,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,2157,53,156.38,157.12,157.29,2.46
1107,2023,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,330,11,150.94,151.9,152.19,3.33
1108,2023,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,354,6,161.41,161.96,161.97,1.69
1109,2023,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-CHIQUINQUIRA,91,2,147.02,147.68,147.61,2.2
1110,2023,UNIVERSIDAD DEL CAUCA-POPAYAN,1927,65,154.54,155.52,155.91,3.37
1111,2023,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,1497,41,153.93,154.75,154.89,2.74
1112,2023,UNIVERSIDAD DE CALDAS-MANIZALES,1244,44,154.38,155.42,155.7,3.54
1113,2023,UNIVERSIDAD DE CORDOBA-MONTERIA,2391,149,140.92,142.6,143.1,6.23
1114,2023,UNIVERSIDAD SURCOLOMBIANA-NEIVA,1682,54,149.63,150.58,150.69,3.21
1115,2023,UNIVERSIDAD DE LA AMAZONIA-FLORENCIA,1002,44,136.9,138.0,138.58,4.39
1117,2023,UNIVERSIDAD MILITARNUEVA GRANADA-BOGOTÁ D.C.,2129,48,158.34,159.0,159.28,2.25
1118,2023,UNIVERSIDAD TECNOLOGICA DEL CHOCODIEGO LUIS CORDOBA-QUIBDO,1665,266,115.67,119.16,121.02,15.98
1119,2023,UNIVERSIDAD DE LOS LLANOS-VILLAVICENCIO,757,29,151.51,152.59,153.13,3.83
1120,2023,UNIVERSIDAD POPULAR DEL CESAR-VALLEDUPAR,1949,98,138.74,140.07,140.47,5.03
1121,2023,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA-BOGOTÁ D.C.,917,31,154.98,156.0,156.19,3.38
1122,2023,UNIVERSIDAD DEL PACIFICO-BUENAVENTURA,261,35,125.2,128.52,129.33,13.41
1123,2023,UNIVERSIDAD POPULAR DEL CESAR-AGUACHICA,366,39,131.33,134.11,134.54,10.66
1201,2023,UNIVERSIDAD DE ANTIOQUIA-MEDELLIN,2982,80,162.52,163.33,163.68,2.68
1202,2023,UNIVERSIDAD DEL ATLANTICO-BARRANQUILLA,2507,89,150.28,151.3,151.61,3.55
1203,2023,UNIVERSIDAD DEL VALLE-CALI,2945,127,159.56,160.86,161.35,4.31
1204,2023,UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,2277,71,166.25,167.24,167.54,3.12
1205,2023,UNIVERSIDAD DE CARTAGENA-CARTAGENA,2387,133,144.04,145.53,146.27,5.57
1206,2023,UNIVERSIDAD DE NARIÑO-PASTO,1693,91,149.64,151.2,151.54,5.38
1207,2023,UNIVERSIDAD DEL TOLIMA-IBAGUE,3551,157,140.87,142.04,142.54,4.42
1208,2023,UNIVERSIDAD DEL QUINDIO-ARMENIA,1555,76,144.52,145.8,146.54,4.89
1209,2023,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,1727,56,142.67,143.52,143.89,3.24
1210,2023,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA,698,38,139.18,140.6,141.18,5.44
1212,2023,UNIVERSIDAD DE PAMPLONA-PAMPLONA,2685,112,142.06,143.15,143.73,4.17
1213,2023,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA-SANTA MARTA,2565,124,145.68,146.94,147.78,4.83
1214,2023,UNIVERSIDAD DE CUNDINAMARCA-UDEC-FUSAGASUGA,1447,72,147.32,148.75,149.05,4.98
1215,2023,UNIVERSIDAD DE CUNDINAMARCA-UDEC-GIRARDOT,301,15,146.38,147.77,148.15,4.98
1216,2023,UNIVERSIDAD DE CUNDINAMARCA-UDEC-UBATE,117,6,140.32,141.79,141.77,5.13
1217,2023,UNIVERSIDAD DE SUCRE-SINCELEJO,943,34,148.55,149.57,149.86,3.61
1218,2023,UNIVERSIDAD DE LA GUAJIRA-RIOHACHA,1790,103,129.84,131.16,132.18,5.75
1219,2023,UNIVERSIDAD DE ANTIOQUIA-CARMEN DE VIBORAL,103,2,165.51,166.13,166.28,1.94
1220,2023,UNIVERSIDAD DE ANTIOQUIA-ANDES,40,2,145.98,147.47,147.45,5.0
1221,2023,UNIVERSIDAD DE ANTIOQUIA-CAUCASIA,40,0,152.38,152.38,152.38,0.0
1222,2023,UNIVERSIDAD DE ANTIOQUIA-PUERTO BERRIO,14,0,136.57,136.57,136.57,0.0
1223,2023,UNIVERSIDAD DE ANTIOQUIA-TURBO,16,0,144.62,144.62,144.62,0.0
1301,2023,UNIVERSIDAD DISTRITALFRANCISCO JOSE DE CALDAS-BOGOTÁ D.C.,2419,47,165.39,166.04,166.02,1.94
1701,2023,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,2526,34,172.27,172.71,172.83,1.35
1702,2023,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,1526,36,169.4,170.16,170.41,2.36
1703,2023,UNIVERSIDAD INCCA DE COLOMBIA-BOGOTÁ D.C.,104,2,138.71,139.18,139.52,1.92
1704,2023,UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,2235,79,150.72,151.71,152.14,3.53
1705,2023,UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,807,73,147.78,150.37,151.03,9.05
1706,2023,UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,1002,17,170.16,170.69,170.93,1.7
1707,2023,FUNDACION UNIVERSIDAD DE BOGOTAJORGE TADEO LOZANO-BOGOTÁ D.C.,877,14,157.72,158.22,158.24,1.6
1708,2023,FUNDACION UNIVERSIDAD DE BOGOTAJORGE TADEO LOZANO-CARTAGENA,26,1,142.96,144.06,144.04,3.85
1709,2023,UNIVERSIDAD CENTRAL-BOGOTÁ D.C.,1011,18,150.26,150.8,150.79,1.78
1710,2023,UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN,1603,53,163.03,163.94,164.84,3.31
1711,2023,UNIVERSIDAD DE LA SABANA-CHIA,1484,5,179.23,179.35,179.33,0.34
1712,2023,UNIVERSIDAD EAFIT--MEDELLIN,1658,42,169.01,169.84,170.01,2.53
